,precision,recall,f1-score,support
not causal,0.8494897959183674,0.7780373831775701,0.8121951219512196,428.0
causal,0.7738095238095238,0.8463541666666666,0.808457711442786,384.0
accuracy,0.8103448275862069,0.8103448275862069,0.8103448275862069,0.8103448275862069
macro avg,0.8116496598639455,0.8121957749221184,0.8103264166970028,812.0
weighted avg,0.8137001105861065,0.8103448275862069,0.8104276765876253,812.0
