,precision,recall,f1-score,support
not causal,0.6666666666666666,0.6822429906542056,0.6743648960739029,428.0
causal,0.6363636363636364,0.6197916666666666,0.6279683377308707,384.0
accuracy,0.6527093596059114,0.6527093596059114,0.6527093596059114,0.6527093596059114
macro avg,0.6515151515151515,0.6510173286604362,0.6511666169023869,812.0
weighted avg,0.6523361695775489,0.6527093596059114,0.652423666512666,812.0
