,precision,recall,f1-score,support
not causal,0.8827977315689981,0.8608294930875576,0.8716752216518899,1085.0
causal,0.6575963718820862,0.7004830917874396,0.6783625730994152,414.0
accuracy,0.8165443629086058,0.8165443629086058,0.8165443629086058,0.8165443629086058
macro avg,0.7701970517255421,0.7806562924374987,0.7750188973756525,1499.0
weighted avg,0.8206006916020991,0.8165443629086058,0.8182853373952358,1499.0
